1,metric,model
0.5294117647058824,acc,NLP_Reading
0.7058823529411765,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.875,acc,NLP_Reading
0.75,acc,NLP_Reading
0.75,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.9375,acc,NLP_Reading
0.5571428571428572,roc,NLP_Reading
0.6428571428571429,roc,NLP_Reading
0.7578125,roc,NLP_Reading
0.75,roc,NLP_Reading
0.9285714285714286,roc,NLP_Reading
0.8253968253968254,roc,NLP_Reading
0.8166666666666667,roc,NLP_Reading
0.7249999999999999,roc,NLP_Reading
0.7363636363636363,roc,NLP_Reading
0.925,roc,NLP_Reading
0.42857142857142855,fms,NLP_Reading
0.5454545454545454,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.7368421052631579,fms,NLP_Reading
0.8333333333333333,fms,NLP_Reading
0.7777777777777778,fms,NLP_Reading
0.7499999999999999,fms,NLP_Reading
0.6153846153846153,fms,NLP_Reading
0.7058823529411764,fms,NLP_Reading
0.923076923076923,fms,NLP_Reading
0.42857142857142855,precision,NLP_Reading
0.75,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.6363636363636364,precision,NLP_Reading
1.0,precision,NLP_Reading
0.7777777777777778,precision,NLP_Reading
1.0,precision,NLP_Reading
0.5714285714285714,precision,NLP_Reading
1.0,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.42857142857142855,recall,NLP_Reading
0.42857142857142855,recall,NLP_Reading
0.625,recall,NLP_Reading
0.875,recall,NLP_Reading
0.7142857142857143,recall,NLP_Reading
0.7777777777777778,recall,NLP_Reading
0.6,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.5454545454545454,recall,NLP_Reading
1.0,recall,NLP_Reading
0.6,specificity,NLP_Reading
0.9,specificity,NLP_Reading
0.75,specificity,NLP_Reading
0.5,specificity,NLP_Reading
1.0,specificity,NLP_Reading
0.7142857142857143,specificity,NLP_Reading
1.0,specificity,NLP_Reading
0.7,specificity,NLP_Reading
1.0,specificity,NLP_Reading
0.9,specificity,NLP_Reading
